Survey;Label
guru Pelajaran sangat baik dalam melakukan bimbingan belajar Pelajaran sistem cloud computing;positif
Bapak guru diharapkan mampu berkoordinasi dengan pihak akademik terkait jadwal mengajar agar tidak sering meninggalkan kelas.;negatif
Belum bertemu Gurunya. tetapi dengan bu makin semangat, terimakasih bu;positif
Semoga sukses dan sehat selalu untuk pak;positif
Tidak ada sudah baik;positif
Sudah Cukup Baik;positif
Ibu sudah menyampaikan materi dengan baik harap di pertahankan atau bisa lebih baik lagi;positif
proses mengajarnya menarik semoga bisa tetap seperti itu;positif
alhamdulillah tidak ada bu;positif
sejauh ini sudah baik;positif
Semoga tidak ada atau lebih sedikit acara untuk guru agar Pelajaranya tidak terhambat;negatif
Terimakasih pak ilmunya.;positif
mohon bapak pertahanin saat dalam menyampaikan materi karena pada saat menyampaikan materi kami lebih bersemangat dan tidak mudah bosen ketika dikelas;positif
Sangat baik dalam menyampaikan materi dan juga memberikan contoh dalam kehidupan sehari hari sehingga Siswa lebih mengerti dengan materi yang disampaikan,;positif
Penjelasan materi terlalu cepat;negatif
Tidak ada saran dari saya;positif
jika menjelaskan materi jangan hanya berpatokan dan membaca ppt saja, lebih detail dan tidak terburuburu sehingga Siswa bisa paham terhadap apa yang disampaikan;negatif
pembelajaran mekanika teknik cukup menurut saya;positif
semoga kedepannya lebih bisa berinteraksi dengan Siswa mahasiswi pasif dan mengajarkan Siswa sesuai porsinya;negatif
Pada setiap sub bab setidaknya diberikan satu soal untuk. Siswa supaya kami bisa latihan soal pada setiap sub bab;negatif
Sudah bagus, tidak ada saran;positif
pak baik;positif
Saran saya agar guru dapat mengerti materi yang di berikan kepada Siswa;negatif
Tidak ada saran semua sudah berjalan dengan lancar dan baik;positif
semua sudah berjalan dengan sangat baik dan sesuai dengan materi sesuai mapel yang diajarkan;positif
mengundang lebih banyak pemateri¿¿ dari BUMN;positif
semangat bapak;positif
Lebih sabar lgi;positif
TIdak ada saran, semoga pak sehat selalu, itu saja dari saya pak yg terbaik. Tuhan Berkati;positif
Pemaparan materi sudah cukup baik dan dapat ditingkatkan lagi;positif
Jangan susah susah pak pusingg;negatif
Tolong mengajarnya di tingkatkan lagi seperti lebih aktif,semangat,dan memberikan sedikit solusi ke Siswa nya saat ada kesalahan;negatif
cukup puas dengan pengajarannya;positif
baik dan jelas;positif
Sejauh ini walopun masi belom jauh masi aman mental dan fisik Alhamdulillah,gada saran tpi nya sangat baik lah sama pengajaran nya;positif
Lebih ditingkatkan kembali agar mendapatkan hasil pengajaran yg lebih maksimal kembali agar meluluskan Siswa yg baik.;negatif
Secara keseluruhan cara penyampaian ibu sudah sangat baik dan bisa saya mengerti, ibu juga selalu tepat waktu datang ke kelas untuk mengajar pada jam Pelajaran Pengantar Manajemen Bisnis Digital;positif
Semakin diperbagus;positif
Latihan tugas diperbanyak agar saya lebih paham.;negatif
Tidak ada saran.;positif
lebih ditingkakan;positif
Sudah sangat baik ¿¿¿¿;positif
cara penyampaian materi sangat bagus;positif
mungkin untuk tubes alangkah baiknya bisa didana sama sekolah pak;positif
mantap seru oke;positif
mantab;positif
Untuk penyampaian materi jangan ada jeda yang cukup panjang selama jam Pelajaran aljabar Linear berlangsung;negatif
Terimakasih untuk pak telah memberikan materi akpl dengan sangat baik. Semoga kedepanya quiz diberikan waktu yang sedikit panjang.;positif
suaranya kadang tidak kedengaran pak lebih di kerasin dikit;negatif
sudah sangat baik, tidak pernah memberi tugas yang memberatkan Siswa;positif
semoga panjang umur sehat selalu pak;positif
Ibu Guru sekiranya bisa lebih pelanpelan dalam memberikan materi Pelajaran, sehingga kami dapat memahami satu persatu materi dengan baik.¿¿¿¿;negatif
jangan keseringan online;negatif
semoga lebih baik kembali;positif
terima kasih bu atas ilmu yang diberikan selama satu semester ini;positif
Jujur SANGAT TIDAK PUAS/Buruk. Diantara Guru/mapel yang lainnya, ini yang paling buruk. Yg awal2 pembelajaran Matematika Sains yang sangat tidak relevan dengan jurusan. Pembelajaran Online yang dimana banyak teman2 Siswa yang sangat kurang paham terhadap materi yang disampaikan. Saya pun kurang puas dengan materi yang disampaikan. Gurunya pun agak gimana gitu/ beda dari Guru2 lainnya. Perlu ada perubahan terkait guru & pembelajaran Pelajaran ini. Terimakasih;negatif
untuk pembelajaran sangat baik dan menyenangkan;positif
Nice try;positif
untuk penyampaian materi sudah baik tetapi terkadang mager wkwk;negatif
UAS jangan pakai kertas pak;negatif
semangat terus pak;positif
mantap lahh;positif
Memaksimalkan proses pembelajaran pada Siswa;negatif
Tidak ada, pengajaran beliau bagus sekali;positif
terimakasih pak;positif
semoga pelayanan kepada Siswa lebih meningkat lagi;positif
penjelasan terlalu cepat dan suara sedikit menggumam. cukup membosankan ketika 3 jam hanya penuh dengan materi. sedikit tambahkan games atau penyegaraan sesaat agar Siswa dapat fokus kembali;negatif
penyampaian materi sangat mudah dipahami;positif
Saran untuk pembelajaran Pelajaran pancasila adalah semoga semakin lebih baik lagi dalam menyampaikan materi;positif
Sudah sangat baik dalam menyampaikan materi;positif
menurut saya waktu pengumpulan tugas yang diberikan kadang sangat singkat, saran saya bapak / ibu bisa memberika batas waktu yang lebih lama;negatif
Sejauh ini Penyampaian di mapel ini sudah sangat baik dan guru dapat menerima saran maupun kritik dari Siswa;positif
Mungkin lebih baik untuk kedepannya dalam menjalankan Pelajaran;positif
sehat2 selalu untuk pak dan keluarga agar bisa memberikan ilmu dan manfaat yang baik bagi kami;positif
Saran dari saya, ibu dapat lebih pelan dalam penyampaian materi sehingga kami dapat lebih mudah memahami. saya berharap pula ibu dapat memperpanjang tenggat waktu pengumpulan tugas kuis agar kami dapat menyelesaikannya dengan maksimal.;negatif
Mantappp;positif
belum ada lagi bu.. terimakasih banyak sudah mau sabar bu;positif
diharapkan bisa masuk terus untuk pembelajaran mapel nya;negatif
luar biasa pertahankan;positif
Pelajaran menarik;positif
Sebaiknya perlu dipertahankan untuk pemaparan materinya;positif
Sabar Bu dalam menghadapi anak kelas saya;positif
sangat baik ¿¿¿¿;positif
Tidak ada, senang bisa dapat materi di YouTube Ibu Guru;positif
sangat baik bu, pembelajaran cukup menarik;positif
Interaksi dengan Siswa sangat baik terutama saat sesi diskusi di dalam kelas.;positif
saran / pendapat / kritik dari Siswa dimohon jgn terlalu diperdebatkan;negatif
terimakasih bu, selama proses pembelajaran berlangsung ibu sudah menjelaskan materi dengan sangat baik;positif
Lebih baik di adakan mic biar suara guru tersebut terdengar sampai ke belakang;positif
cukup baik, kurang bisa memahami materi karena online dan jadwalnya diganti di hari sabtu, dimana hari tersebut banyak kegiatan organisasi;negatif
tidak ada, karena semuanya sudah sangat baik;positif
Pengajaran baik, interaktif dengan Siswa dan menyenangkan. Pendekatan untuk menarik minat Siswa sudah sangat baik.;positif
guru terlalu cepat dalam menjelaskan materi;negatif
Terimakasih kepada bu inas telah mengajarkan kami dengan keikhlasan saran sedikit dari saya yaitu jangan terlalu cepat dalam berpindah materi. Terimakasih;positif
lebih perbanyak contoh soal;negatif
Memberi nilai yang terbaik untuk mahasiwanya;positif
Terima kasih pengajarannya sangat baik;positif
Pertahankan cara pengajaran;positif
tetap konsisten dalam mengajar;positif
Komunikasi saat di media chat;negatif
Pemberian Materi di kelas sudah sangat Baik, untuk penugasan terlalu banyak meresume sehingga dirasa kurang mendalam untuk pemahaman teori tata kelolanya;negatif
Lebih di perhatikan lagi siswa/i nya. Terimakasih;negatif
sudah baik dalam mengajar tetapi memang mapelnya yang agak susah jadi kurang paham;positif
sudah baik.;positif
sudah cukup baik;positif
Keren bu;positif
Lebih baik lagi dalam mengajar;positif
Sudah baik dalam menyampaikan materi, serta pembagian kelompok yang adil, semoga bisa diterapkan lagi di pembelajaran selanjutnya, terima kasih ¿¿¿¿;positif
menghadirkan pembejaran dengan berbagai variasi agar pada saat pmbelajaran tidak terkesan monoton;negatif
SEMOGA SEHAT SELALU IBU;positif
untuk asprak nya saja, agar ditingkatkan proses pengajaran pada saat praktikumnya,;negatif
mungkin bisa diadakan kelas offline sesekali agar terdapat interaksi karena penyampaian materi sudah bagus;negatif
materi yang disampaikan mungkin bisa lebih dijabarkan lagi, tidak hanya dari slide materi;negatif
tolong kelasnya jangan pagipagi pak :);negatif
lebih ditingkatkan lagi dari segi penyampaian materi dan interaksinya kepada Siswa;negatif
pembelajaran cenderung searah dan kurang interaktif;negatif
Bagus dalam memberikan materi;positif
semua sangat baik, terimakasih ilmunya bu;positif
Lebih fleksibel lagi dalam pembelajaran;positif
lakukan interaksi kepada Siswa;negatif
tidak ada komplain kecuali hal yang diekspektasi;positif
Tidak ada, karena sudah baik;positif
semoga bapak sehat selalu;positif
Tolong pembelajaran lebih baik dilakukan secara offline;negatif
Semoga bisa tetap konsisten dalam mengajar dan tetap menjadi penyabar sebagai guru yang sudah dinilai sabar oleh Siswa;positif
Tidak ada bu;positif
sudah bagus dalam pembelajaran dan juga cara mengajarnya juga sudah bagus;positif
gg;positif
gaada saran udah mantap;positif
Memberikan materi atau ppt tentang materi yang sedang dipelajari dan dicantumkan dielearning supaya kalau semisal ada ujian jadi bisa melihat materi yang telah diberikan oleh guru;negatif
Bapak is The Best;positif
bagus, dipertahankan;positif
untuk IoT tubesnya alangkah baiknya bisa didanai oleh sekolah pak, karena menghabiskan banyak kami;negatif
Ibu Guru sekiranya lebih pelanpelan dalam memberikan materi Pelajaran, sehingga kami dapat memahami satu persatu materi dengan baik.;negatif
Mantap pak, sangking mantap nya saya tidak ada saran untuk bapak.;positif
Suda sangat baik;positif
kurang efektif ketika mengajar online,smoga kedepannya bisa mengajar offline;negatif
dapat menyampaikan materi yg mudah dipahami;positif
semangat bu;positif
sarannya kalau bisa jadwal Pelajaran sesuai yang sudah dijadwalkan, dan kepada guru pengampu bisa lebih baik lagi untuk mengirimkan materi pada elearning.;negatif
Interaksi dalam pembelajaran harus lebih aktif dan melibatkan seluruh Siswa;negatif
sudah baik dalam menyampaikan materi, dipertahankan;positif
bu sangat sabar<3, jadi tidak ada saran terimakasih bu ber<3;positif
Not bad;positif
sudah sangat bagus, semua materi dan record zoom di uploud di e learning sehingga Siswa dapat mengulang kembali materi yg dijelaskan;positif
semoga kedepannya lebih baik. terimakasih;negatif
Soal kuis dan ujian agar bisa lebih mudah terimakasih;negatif
terimakasih Pak telah mengajar saya. mohon bimbingannya kedepan;positif
Kinerja sudah baik, dalam menyampaikan informasi sudah sangat baik;positif
Selalu menjadi guru yang berkualitas untuk siswanya;positif
Interaksi guru dengan Siswa sebaiknya lebih diperhatikan lagi karena Pelajaran bahasa indonesia ini memang harus cukup banyak berdiskusi.;negatif
Semoga memenya semakin banyak;positif
Ketika Pelajaran di lab bolehkah sama bapak saja:D;positif
sangat baik dalam menerangkan materi;positif
Lebih sering masuk kelas;negatif
Lebih sering latihan soal agar bisa lebih memahami perbedaan antar pendekatan dalam probabilitas.;negatif
Tidak ada, karena pak adalah motivasi saya untuk lebih berkembang lagi;positif
Semoga kedepannya dalam mengajar tetap baik dan menjadi lebih baik;positif
Guru yang sangat sabar dan sangat baik dalam penyampaian materi;positif
Saranya tolong untuk bu rajin masuk kelas dan memberikan materi dengan baik,jelas dan dapat dipahami oleh siswa. Sejak awal semester beliau masuk kelas terhitung 23 kali saja. Lalu materi yang disampaikan tidak merujuk kepada ict business law malah seperti pelajaran hukum pkn. Kemudian, selama saya di semester ini apa itu ict business law saya belum memiliki gambaran akan mapel ini. Setau saya, ict business law itu lumayan banyak hafaln karena menyakup hukum namun realita yang saya dapatkan sebaliknya;negatif
Saat Penyampaian materi agak terlalu cepat;negatif
Terimakasih pak, sukses selalu.;positif
Semangat Bu;positif
Tidak ada bu karena cara pengajaran ibu yang menyenangkan dalam berinteraksi dengan siswa.;positif
Pengajaran yang diberikan sudah sangat baik, namun Jika ada informasi kelas kosong jangan disampaikan dengan mendadak karena kasihan para Siswa yang bertempat tinggal jauh;negatif
Saran untuk pembelajaran Pelajaran mikrokontroller dan iot adalah semoga semakin lebih baik lagi dalam menyampaikan materi;positif
Sehat sehat ibu;positif
terus sabar bu, ngajarin anak anak hehe;positif
Sudah baik dalam mengajar;positif
Pembelajaran seperti 2 pertemuan terakhir;negatif
Semoga semester selanjutnya bisa offline;negatif
Dimohon untuk tidak melakukan pengajaran hanya dengan lewat record video dari zoom kelas sebelumnya, dikarenakan kurang efektif;negatif
Pelajaran disampaikan dengan menarik;positif
Tugas besarnya menguras uang banyak pak sehingga saya ga makan untuk 5 hari;negatif
zoom dan gmeet beli premium pak;negatif
deadline tugas jangan terlalu lama.;negatif
semoga dapat dipertahankan;positif
Untuk Pelajaran perancangan basis data, mohon apabila terkendala kelas tersebut dialihkan ke hari lain. Minimal materi atau runtutan materi diinputkan ke elearning. Agar Siswa dapat mengetahui dari bagian mana mereka belajar. Selain itu, dengan cara ini juga dapat memberikan kemudahan dan mengefisienkan kelas untuk praktikum. Karena Siswa tidak datang dengan otak kosong terkait praktikum dan hanya memahami teori saja. Terima kasih, mohon maaf jika ada salah kata dalam penulisan saran saya.;negatif
terimakaasih atas ilmunya pak;positif
Mungkin Kurang Penjelasan secara Prakteknya, kalau teorinya aman;negatif
mungkin lebih jangan terlalu terburuburu pak kalau menjelaskan karena perograman web sulit;negatif
Masih belum ada;positif
cara mengajarnya menarik jadi membuat kita tertarik dengan materinya;positif
Memang setiap pertemuan tidak diberi tugas, tapi sekalinya dikasih tugasnya malah merepotkan harus keliling mencari spot foto yang bagus;negatif
materinya seru;positif
semoga kedepannya menjadi yang lebih baik lagi;positif
sangat baik ibu semoga tetap mempertahankan sikap baik ibu terimakasih.;positif
terkadang tugas diberikan tidak sesuai dengan kemampuan Siswa lain dan harus dipaksa bisa di bidang terntentu untuk mengejar nilai;negatif
Agar lebih detail lagi dalam memberi penjelasan mengenai materi yang ada;negatif
Ibu selaku pengampu pengantar akutansi sudah sangat baik serta saya nyaman di ajar oleh Bu;positif
Cukup baik untuk saat ini;positif
maternya mudah diterima dan cara mengajar yang tidak membosankan;positif
Sekali kali offline buk;negatif
Semoga sukses dan sehat selalu untuk ibu;positif
materi mudah dimengerti dan soal juga sesuai dengan kemampuan Siswa;positif
Cukuppp;positif
terimakasih bu;positif
tolong disertakan latihan buat data di google colab bu;negatif
Guru dapat menciptakan suasana kelas yang enjoy sehingga Siswa tidak tertekan.;positif
Gaada saran bu semangat teruss ibu;positif
Semoga dapat dipertahankan dan menjadi lebih baik kedepannya;positif
di pertahankan buu Siswa cukup bahagia dengan sistem pengajaran yang ibu sampaikan :);positif
tidak ada sudah cukup baik;positif
Tidak ada saran dari saya.;positif
penyampaian materi yang kurang keras dan juga kurang interaktif dengan Siswa;negatif
Sudah sangat baik. Materi yang disampaikan sudah sangat relevan. Tiap pertemuan diadakan quizizz kuis ringan2 saja & seru untuk mereview ulang materi yang disampaikan. Dan dapat mengetahui seberapa paham tingkat kepahaman mahaiswa. Strategi Quizizz (kuis ringan & seru) perlu dicontoh Guru2 lainnya juga. Terimakasih;positif
Semoga guru lebih memperhatikan setiap siswanya;positif
saran saya agar guru utk dpt menanggapi jika Siswa menghubungi;negatif
Semangat Bu;positif
Saran saya jika ada pemilihan kelompok lebih baik dipilihkan oleh guru saja agar adil jadi tidak ada kata untuk yang pintar sendiri dan yg kurang pintar sendiri (kubu);negatif
Terkadang penjelasan kurang jelas dikarenakan suara bu yang kurang terdengar, mohon untuk menambah sedikit volume suaranya bu, terima kasih;negatif
Ibu sangat baikk dalam menjelaskan;positif
Terima kasih satu semester ini banyak pelajaran yang saya dapat;positif
Gurunya sangat mampu menjelaskan dengan baik dan tertata dalam menjelaskan materi;positif
kenapa tidak ada evaluasi individu? karena yang saya rasakan ada guru yang sangat baik penyampaian materi, metode pengajaran, dan objektif penilaiannya. namun ada juga guru lain yang penguasaan materinya kurang, ada yang metode pengajarannya kurang tepat, dan ada pula yang sistem penilaiannya kurang. menurut saya pribadi, mungkin jika evaluasinya bersifat individu, saran untuk guru pengampu akan lebih tepat sasaran;negatif
Upgrade membelajaran agar lebih menyenangkan;negatif
Untuk bu kalau ngajar jangan terlalu nge rap buuu :);negatif
terimakasih bu,;positif
Ok;positif
Belum ada.;positif
Saran saya, bapak mohon lebih kencang sedikit menyampaikan materinya, supaya kami yang di belakang dapat mendengar dengan jelas.;negatif
MAAF BU KALAU SAYA MASIH BANYAK MELUPAKAN TUGAS IBU;positif
saran saya pembelajaran offline sering diterapkan agar Siswa bisa mudah memahami materi dari pembelejaran yg disampaikan;negatif
Penyampaian materi yang baik;positif
Timeline nya kurang Fleksibel;negatif
Joss;positif
Semoga kedepannya semakin bagus;positif
Sampean sangar pak karo Siswa pertahankan pak;positif
Saran saya untuk guru pengampu agar dapat lebih memahami kapasitas para Siswa nya agar materi yang diberikan dapat diterima dengan baik;negatif
Timakasih bu atas penyampaian materi selama satu semester ini;positif
Untuk kedepannya mungkin lebih dipermudah dalam mengakses materi yang diberikan, karena ada beberapa materi yang tidak bisa diakses, sehingga saya kesulitan untuk mempelajari ulang materi yang diberikan. Terima kasih ibu, atas materi dan bimbingannya dalam satu semester ini.;negatif
dalam menjelaskan, sebaiknya suaranya lebih jelas;negatif
dapat memberikan pembelajaran yang lebih efektif agar Siswa dapat memahami dan mendapatkan tujuan yang jelas dalam setiap mapel yang dituju;positif
banyak bersabar yaa bu mungkin Siswa nya yang maih kurang faham untuk ibuk sudah terbaik;positif
apabila siswa/mahasiswi menghubungi mohon dibalas;negatif
Terimakasi ibu, sukses selalu.;positif
joz;positif
Sudah sangat baik dalam proses pembelajaran di kelas dan dalam penyampaian materi sangat jelas. Semoga kedepannya tetap seperti itu.;positif
saya dapat menerima materi dengan jelas semoga kedepanya dapat lebih baik amin;positif
Keren 3 Buu;positif
penjelasan perlahan lahan agar dipahami seluruh Siswa dengan baik;positif
untuk penyampaian materi mungkin lebih enak dan efektif jikalau di adakan pertemuan tatap muka;negatif
Terimakasih untuk pak sudah memberikan materi design ui/ux dengan sangat baik dan santai.;positif
sangat baik dalam mengajar;positif
semoga mapel saya ini lulus dan semoga diberi nilai yg terbaik memuaskan aminn;positif
Semoga tetap menjadi guru yang lebih baik dan lebih banyak interaksi dengan siswanya.;positif
dalam penyampaian materi sudah cukup baik;positif
Bisa memberi sumber materi yang diakan dipelajari;positif
Terima kasih atas;positif
semoga pembelajaran kedepannya ada referensi video agar lebih mudah dipahami, that's all thank you pak;negatif
Guru yang sangat baik dan selalu mau berdikusi dengan siswanya;positif
pembelajaran selama semester ini sudah sangat baik;positif
Penyampaian materi sangat mudah di pahami;positif
ditunggu mabar valonya lagi pak;positif
Keep up the goodwork bu!;positif
guru pengampu sudah memberikan yang baik bagi siswanya dan diharap akan terus semakin baik;positif
lebih efisien lagi dalam mengajar;negatif
saran nya yaitu lebih banyak interaksi lagi kepada Siswa nya;negatif
Bu Gurunya seru dan menyenangkan, semoga kedepannya ketemu lagi di Pelajaran lainnya;positif
Memberitahu ke Siswa jika tidak ada kelas maximal 3 jam sebelum pelajaran dimulai;negatif
Penyampaian materi yang kurang;negatif
Saran dari saya, semoga ibu dapat memperpanjang batas waktu pengumpulan tugas, sehingga kami tidak terlalu terbebani dan dapat mengerjakannya dengan maksimal.;negatif
Semoga bu diberi kesehatan dan dilancarkan segala urusannya.;positif
MasyaAllah, istiqamah selalu pak! ¿¿¿¿¿¿¿¿;positif
Saran saya sebaiknya Matematika dilakukan secara offline di sekolah;negatif
semangat terus pak;positif
Lebih bagus lagi dalam mengajar;positif
kurangnya komunikasi langsung, jadi sulit untuk memahami materi yang di sampaikan, berharap kedepannya yang lebih baik lagi;negatif
Penyampaian materi sebaiknya tidak menggunakan video record kelas sebelumnya, dan tidak terlalu cepat dalam menyampaikan materi.;negatif
saran saya sebelum ujian diberitahukan terlebih dulu apakah open book atau close book sehingga bisa lebih dipersiapkan;negatif
Materi yang diajarkan sudah sangat baik namun kadang materi sulit ditangkap;negatif
Guru aktif berdiskusi bareng, mas aripp cool;positif
Saran supaya ibu guru lebih detail dalam memberikan informasi agar Siswa tidak bingung. Terima kasih;negatif
Mantap pak;positif
sebainya pak kalau menerangkan suaranya jangan pelan, karena kadang terdengar kurang jelas;negatif
Saya merasa cukup puas dengan proses mengajar Ibu, namun alangkah baiknya intonasi dalam mengajar dapat lebih pelan agar lebih dapat dipahami.;negatif
lebih baik menyampaikan materi pembelajaran;positif
semoga semester depan ketemu bu lagi;positif
Materi yang disampaikan cukup jelas dan juga guru dapat memberikan suatu gambaran mengenai materi yang disampaikan sehingga mudah untuk dimengerti akan tetapi untuk penjelasan materi supaya guru sedikit untuk meningkatkan suaranya;positif
terima kasih bu;positif
Tidak ada, Selama Pelajaran SIA selalu lancar;positif
Oke juga;positif
sangat baik dalam membimbing Siswa;positif
Sangat Bak;positif
Semoga tetap konsisten kedepannya;positif
Pengajarannya sudah bagus materinyapun sesuai;positif
Semoga selalu membimbing dengan sangat baik dan dapat membantu Siswa mengerti bagaimana eksekusi yang harus dilakukan dalam menyelesaikan Tugas Akhirnya;positif
tidak ada, terima kasih pak selama satu semester ini, sehat selalu pak .;positif
Ibu keren cara ngajar nya bagus juga cuman saya saja yang memang dari awal tidak mengerti sama sekali apa yang ibu jelaskan mohon maaf sekali bu Dan saya malu banget mau nanya soal nya emang g tau apaapa di matematika bu;positif
sudah baik lebih ditingkatkan lagi;positif
Saran kedepannya untuk lebih memberikan kelas responsif terutama dalam pengerjaan tugas besar;negatif
Saran dari saya mungkin tidak ada, karena guru sudah menyampaikan materi dengan sangat baik, interaksi dengan Siswa juga sangat baik sekali dan pembelajaran tidak membosankan meskipun online;positif
Terima kasih atas ilmunya;positif
saya suka dengan metode pembelajaran mengajak para Siswa untuk berdiskusi dan membagikan pemikiran mereka tentang topik yang dibahas;positif
Kelas Fisika lebih baik diadakan untuk kelas offline. Terimakasih;negatif
mungkin lebih ke lebih jelas lagi saat menyampaikan materi bu, karena kadang suaranya bu tidak kedengaran;negatif
Sehat selalu, sukses pak;positif
Semoga guru lebih memperhatikan setiap Siswa nya;negatif
The best;positif
baik;positif
saran nya tidak ada sudah bagus;positif
Aku cinta guru;positif
Saran dari saya, sesekali ibu lebih humoris untuk membentuk ikatan dengan Siswa dengan lebih baik. siswa/i pun lebih suka dengan guru yang menyenangkan dan sedikit humoris.;negatif
Dalam penyampain materi sudah sangat baik;positif
terimakasih pak atas ilmunya, tapi pak dari saya untuk materinya baiknya didapatkan dahulu baru praktiknya soalnya biasanya ada sedikit perbedaan di penjelasnnya.;negatif
Terimakasih bu yg telah mengajarkan materi mapel pancasila sehingga bisa menambah wawasan dan pengetahuan kami semoga bermanfaat ¿¿¿¿;positif
Semoga Bu semakin semangat mengajar;positif
saya suka dengan metode pembelajaran yang lebih interaktif dengan Siswa;positif
Lebih baik lagi dalam hal mengenalkan dibidang industri, ekonomi dan transportasi,masih ada beberapa yang belum kita ketahui dalam hal apa saja yang ada di bidang industri, ekonomi dan transportasi;negatif
Saya suka dengan penugasan maupun pembawaan materi saat mengajar. Saran saya mungkin lebih sering memberi hukuman yang telat kelas dengan game yang berhubungan dengan materi Pelajaran biar anak yang telat dapat memahami materi sebelumnya, jika tidak bisa juga tidak apaapa karena saya sudah merasa nyaman di kelas Bu .;positif
selalu memperbaiki materi Pelajaran dan mengevaluasi setiap kegiatan Pelajaran supaya kedepannya semakin baik;positif
